Bottes Usées d'Hogmeiser;| Botte;1;01;11;2021;13;48;12;;60458 kamas/u.;90 000;;;;;
Bottes du Petit Bouftou;| Botte;1;01;11;2021;13;48;15;;38 kamas/u.;40;;;;;
Sandales Tofuesques;| Botte;1;01;11;2021;13;48;19;;O kamas/u.;2 000;;;;;
Bottes de |'Aventurier;| Botte;1;01;11;2021;13;48;23;;3825 kamas/u.;3 887;3 887;3 887;3 887;3 887;3 888;3 999;3 999;3 999;3 999;3 999;3 999;4 500;4 500;5 000;5 000;5 000;5 000;5 000;5 400;5 400;5 400;21 500;
Sandales du Piou Violet;| Botte;1;01;11;2021;13;48;30;;269 kamas/u.;so};;;;;
Les Incrustes;| Botte;1;01;11;2021;13;48;33;;34 kamas/u.;;;;;;
Sandales du Piou Vert;| Botte;1;01;11;2021;13;48;37;;17 kamas/u.;;;;;;
Sandales du Piou Jaune;| Botte;1;01;11;2021;13;48;41;;95 kamas/u.;50;;;;;
Sandales du Piou Rose;| Botte;1;01;11;2021;13;48;44;;294 kamas/u.;99;;;;;
Bottes du Grand Bouftou;| Botte;2;01;11;2021;13;48;49;;99 kamas/u.;20;;;;;
Bottes de Kluh;| Botte;8;01;11;2021;13;48;52;;1975 kamas/u.;1 999;;;;;
Bottes Agilesques;| Botte;8;01;11;2021;13;48;56;;279 kamas/u.;305;305;305;305;;
Boufbottes;| Botte;10;01;11;2021;13;49;00;;3114 kamas/u.;2 769;2 769;2 769;2 899;2 899;2 899;2 899;2999;3 500;3 800;3 800;4 500;5 500;6 500;7 000;7 000;7 000;8 000;12 000;20 000;23 000;25 000;25 000;28 000;29 000;30 000;30 000;31 000;39 000;
Bottes en Mousse;| Botte;11;01;11;2021;13;49;08;;6969 kamas/u.;398;500;500;5 997;6 500;5 997;6 500;13 500;
Bottes de Satisfaction;| Botte;17;01;11;2021;13;49;12;;15869 kamas/u.;8 995;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;11 300;
Bottes Paysannes;| Botte;18;01;11;2021;13;49;19;;1032 kamas/u.;990;990;990;990;990;990;990;1 000;
Pieds du Sanglier;| Botte;22;01;11;2021;13;49;23;;3200 kamas/u.;1 400;1 499;1 499;1 499;1 499;2 000;2 000;3 400;2 000;3 400;3 900;
Pantoufles du Tofu;| Botte;23;01;11;2021;13;49;28;;7337 kamas/u.;6 999;7 000;7 000;7 999;8 000;
Bottes de Faillete;| Botte;24;01;11;2021;13;49;32;;4721 kamas/u.;9 000;10 000;;;;
Petites Bottes de Poursuite;| Botte;31;01;11;2021;13;49;36;;7613 kamas/u.;60 000;;;;;
Larvabottes;| Botte;33;01;11;2021;13;49;39;;2304 kamas/u.;6 000;6 000;6 499;6 500;20 000;
Geta Akwadala;| Botte;35;01;11;2021;13;49;43;;94824 kamas/u.;65 000;66 666;69 999;80 000;88 000;89 000;95 000;100 000;150 000;155 000;179 000;179 000;179 000;179 999;
Bottes Tarsy;| Botte;38;01;11;2021;13;49;49;;162254 kamas/u.;ace};79 994;79 994;79 994;79 995;90 000;90 000;90 000;90 000;95 000;95 000;100 000;100 000;110 000;120 000;125 000;125 555;125 555;126 666;135 000;135 000;135 000;135 000;150 000;159 999;159 999;179 999;179 999;179 999;179 999;179 999;189 999;199 999;200 000;210 000;220 000;225 999;229 999;230 000;250 000;253 000;253 000;253 000;253 000;253 000;299 999;299 999;299 999;299 999;299 999;299 999;299 999;319 999;
Bottes du Boufcoul;| Botte;38;01;11;2021;13;50;02;;29024 kamas/u.;30 000;30 000;30 000;30 000;;
Puissantes Bottes de Poursuite;| Botte;39;01;11;2021;13;50;06;;29710 kamas/u.;120 000;;;;;
Kwakobottes de Flammes;| Botte;40;01;11;2021;13;50;10;;60808 kamas/u.;60 000;;;;;
Kwakobottes de Glace;| Botte;40;01;11;2021;13;50;13;;33908 kamas/u.;49 999;49 999;49 999;60 000;;
Kwakobottes de Terre;| Botte;40;01;11;2021;13;50;18;;77624 kamas/u.;49 999;60 000;;;;
Kwakobottes du Vent;| Botte;40;01;11;2021;13;50;21;;12509 kamas/u.;50 000;50 000;50 000;;;
