;;;01;19;2021;14;04;36;;;;;
;;;01;19;2021;14;04;40;;;;;
;;;01;19;2021;14;04;44;;;;;
wa kou;;;01;19;2021;14;04;49;;;;;
;;;01;19;2021;14;04;52;;;;;
PIVl UC Vasot;;;01;19;2021;14;04;56;;;;;
;;;01;19;2021;14;05;00;;;;;
nT eerie lamellae;;;01;19;2021;14;05;04;;;;;
;;;01;19;2021;14;05;07;;;;;
fli Yi;;;01;19;2021;14;05;11;;;;;
;;;01;19;2021;14;05;15;;;;;
Options avancées >;;;01;19;2021;14;05;19;;;;;
;;;01;19;2021;14;05;26;;;;;
;;;01;19;2021;14;05;30;;;;;
;;;01;19;2021;14;05;34;;;;;
wa kou;;;01;19;2021;14;05;39;;;;;
;;;01;19;2021;14;05;43;;;;;
PIVl UC Vasot;;;01;19;2021;14;05;46;;;;;
;;;01;19;2021;14;05;50;;;;;
nT eerie lamellae;;;01;19;2021;14;05;54;;;;;
;;;01;19;2021;14;05;57;;;;;
fli Yi;;;01;19;2021;14;06;01;;;;;
;;;01;19;2021;14;06;05;;;;;
Options avancées >;;;01;19;2021;14;06;08;;;;;
;;;01;19;2021;14;06;16;;;;;
;;;01;19;2021;14;06;20;;;;;
;;;01;19;2021;14;06;24;;;;;
wa kou;;;01;19;2021;14;06;28;;;;;
;;;01;19;2021;14;06;32;;;;;
PIVl UC Vasot;;;01;19;2021;14;06;36;;;;;
;;;01;19;2021;14;06;39;;;;;
nT eerie lamellae;;;01;19;2021;14;06;43;;;;;
;;;01;19;2021;14;06;47;;;;;
fli Yi;;;01;19;2021;14;06;50;;;;;
;;;01;19;2021;14;06;54;;;;;
Options avancées >;;;01;19;2021;14;06;58;;;;;
;;;01;19;2021;14;07;06;;;;;
;;;01;19;2021;14;07;09;;;;;
;;;01;19;2021;14;07;13;;;;;
wa kou;;;01;19;2021;14;07;18;;;;;
;;;01;19;2021;14;07;21;;;;;
PIVl UC Vasot;;;01;19;2021;14;07;25;;;;;
;;;01;19;2021;14;07;29;;;;;
nT eerie lamellae;;;01;19;2021;14;07;32;;;;;
;;;01;19;2021;14;07;36;;;;;
fli Yi;;;01;19;2021;14;07;40;;;;;
;;;01;19;2021;14;07;43;;;;;
Options avancées >;;;01;19;2021;14;07;47;;;;;
;;;01;19;2021;14;07;55;;;;;
;;;01;19;2021;14;07;58;;;;;
;;;01;19;2021;14;08;02;;;;;
wa kou;;;01;19;2021;14;08;07;;;;;
;;;01;19;2021;14;08;10;;;;;
PIVl UC Vasot;;;01;19;2021;14;08;14;;;;;
;;;01;19;2021;14;08;18;;;;;
nT eerie lamellae;;;01;19;2021;14;08;21;;;;;
;;;01;19;2021;14;08;25;;;;;
fli Yi;;;01;19;2021;14;08;29;;;;;
;;;01;19;2021;14;08;32;;;;;
Options avancées >;;;01;19;2021;14;08;36;;;;;
