Coupe Cuir;Dague;1;01;19;2021;11;41;08;;3465 kamas/u.;2 000;;;;;
Tailladeuse de Baton;Dague;1;01;19;2021;11;41;13;;357 kamas/u.;300;;;;;
Tailladeuse d'Arc;Dague;1;01;19;2021;11;41;18;;9920 kamas/u.;30 000;;;;;
Tailladeuse de Baguette;Dague;1;01;19;2021;11;41;24;;636 kamas/u.;2 000;;;;;
Sertisseur du Joaillomage;Dague;1;01;19;2021;11;41;29;;24035 kamas/u.;35 000;60 000;60 000;60 000;;
Coupe Cuir du Cordomage;Dague;1;01;19;2021;11;41;34;;23333 kamas/Uu.;30 000;30 000;;;;
Sertisseur;Dague;1;01;19;2021;11;41;40;;1412 kamas/u.;999;;;;;
Dagues de Boisaille;Dague;;01;19;2021;11;41;45;;178 kamas/u.;;;;;;
Grandes Dagues de Boisaille;Dague;6;01;19;2021;11;41;51;;525 kamas/u.;500;;;;;
Grandes Dagues de Fouraille;Dague;12;01;19;2021;11;41;56;;505 kamas/u.;500;;;;;
Dagues du Bandit;Dague;12;01;19;2021;11;42;01;;2735 kamas/u.;1 499;1 499;1 500;2 000;3 500;
Puissantes Dagues de Fouraille;Dague;13;01;19;2021;11;42;06;;1699 kamas/u.;1 500;;;;;
Dagues Sylvestres;Dague;23;01;19;2021;11;42;12;;3253 kamas/u.;5 000;5 000;5 000;;;
Queues de Chatons;Dague;25;01;19;2021;11;42;17;;10177 kamas/u.;3 800;3 800;7 000;;;
Grandes Dagues Sylvestres;Dague;25;01;19;2021;11;42;22;;24910 kamas/u.;4 000;4 000;;;;
Dague de Usurnef;Dague;30;01;19;2021;11;42;28;;0 kamas/u.;5 000;;;;;
Dague du Elyvone;Dague;31;01;19;2021;11;42;33;;0 kamas/u.;10 000;;;;;
Dague de Matubus;Dague;34;01;19;2021;11;42;38;;0 kamas/u.;5 000;;;;;
Couteau a Stek;Dague;35;01;19;2021;11;42;44;;19985 kamas/u.;17 000;18 500;19 999;20 000;21 000;
Dague du Ezavesi;Dague;37;01;19;2021;11;42;49;;0 kamas/u.;5 000;;;;;
Dague du Blufago;Dague;39;01;19;2021;11;42;54;;4000 kamas/u.;4 500;;;;;
Dagues Cruelles d'Elorie Entuwan;Dague;40;01;19;2021;11;43;00;;27828 kamas/u.;9 999;9 999;9 999;9 999;9 999;10 000;12 000;21 000;21 000;25 000;30 000;
Dague du Alitose;Dague;46;01;19;2021;11;43;06;;10000 kamas/u.;10 000;;;;;
Dagues Eurfolles;Dague;46;01;19;2021;11;43;11;;236400 kamas/u.;500 000;680 000;690 000;700 000;;
Dague de Trasesu;Dague;50;01;19;2021;11;43;17;;10000 kamas/u.;5 755;;;;;
Dague Hi'Mov';Dague;50;01;19;2021;11;43;22;;119283 kamas/u.;119 233;;;;;
Dague du Edofu;Dague;51;01;19;2021;11;43;27;;0 kamas/u.;10 000;;;;;
Dague du Erudro;Dague;55;01;19;2021;11;43;32;;0 kamas/u.;20 000;;;;;
Puissante lame de Fon;Dague;56;01;19;2021;11;43;38;;0 kamas/u.;60 000;;;;;
Dague de Egexeme;Dague;58;01;19;2021;11;43;43;;0 kamas/u.;40 000;;;;;
Blessdags;Dague;64;01;19;2021;11;43;48;;364847 kamas/u.;30 000;30 000;70 000;80 000;80 000;80 000;80 000;85 000;600 000;900 000;1 500 000;900 000;1 500 000;2 000 000;
Dague de Uladise;Dague;70;01;19;2021;11;43;55;;0 kamas/u.;20 000;;;;;
Dague de Unorare;Dague;72;01;19;2021;11;44;00;;0 kamas/u.;30 000;;;;;
Chakra Style;Dague;73;01;19;2021;11;44;06;;191779 kamas/u.;400 000;430 000;;;;
Lames Sanglantes D'Ortimus Contrari;Dague;80;01;19;2021;11;44;11;;136733 kamas/u.;300 000;;;;;
Daguette du Captain Chafer;Dague;83;01;19;2021;11;44;16;;51493 kamas/u.;200 000;250 000;785 000;;;
Dague Lutination;Dague;90;01;19;2021;11;44;22;;176826 kamas/u.;999 999;;;;;
Dague de Olabab;Dague;91;01;19;2021;11;44;27;;0 kamas/u.;120 000;;;;;
Dagues Maydhyn China;Dague;100;01;19;2021;11;44;32;;227000 kamas/u.;500 000;740 000;750 000;875 000;900 000;
Dague de Sedum;Dague;103;01;19;2021;11;44;38;;181749 kamas/u.;319 999;;;;;
Dagues du Rat Noir;Dague;108;01;19;2021;11;44;43;;193318 kamas/u.;200 000;250 000;275 000;;;
Dagues de |'Apprenti Tueur de Bouftons;Dague;113;01;19;2021;11;44;48;;292959 kamas/u.;700 000;1 200 000;;;;
Dagues Rhumes;Dague;113;01;19;2021;11;44;54;;1089244 kamas/u.;1 000 000;1 500 000;2 000 000;2 400 000;2 400 000;
Dague de Thorekeruh;Dague;115;01;19;2021;11;44;59;;0 kamas/u.;40 000;;;;;
Dague de Themeb;Dague;117;01;19;2021;11;45;04;;0 kamas/u.;400 000;;;;;
Dague du Etememuv;Dague;120;01;19;2021;11;45;09;;597757 kamas/u.;999 080;;;;;
Dague Régah;Dague;120;01;19;2021;11;45;15;;588581 kamas/u.;750 000;999 999;;;;
Dagues R'Hoh;Dague;121;01;19;2021;11;45;20;;966614 kamas/u.;999 999;2 500 000;;;;
Dague de Aruri;Dague;121;01;19;2021;11;45;25;;25000 kamas/u.;1 500 000;;;;;
Dague de Usovl;Dague;126;01;19;2021;11;45;30;;500000 kamas/u.;1 200 000;;;;;
Sertisseur de Ramougre;Dague;127;01;19;2021;11;45;36;;563851 kamas/u.;430 000;450 000;600 000;600 000;649 999;600 000;649 999;1 500 000;
Dagues du Dragoeuf;Dague;128;01;19;2021;11;45;42;;710618 kamas/u.;750 000;999 999;1 200 000;;;
Dague de Ugatode;Dague;130;01;19;2021;11;45;47;;79932 kamas/u.;200 000;;;;;
Dague de Mangapa;Dague;133;01;19;2021;11;45;52;;301069 kamas/u.;800 000;;;;;
Les Dagues du Bouwin;Dague;135;01;19;2021;11;45;58;;701371 kamas/u.;1 200 000;1 250 000;;;;
Dague de Etaemuie;Dague;136;01;19;2021;11;46;03;;999999 kamas/u.;1 050 000;;;;;
Dague de Thufam;Dague;136;01;19;2021;11;46;08;;0 kamas/u.;250 000;;;;;
Dague du Dutok;Dague;140;01;19;2021;11;46;14;;0 kamas/u.;399 999;;;;;
Dague du Flalevru;Dague;141;01;19;2021;11;46;19;;1750000 kamas/u.;1 250 000;;;;;
Dague du Thusahusar;Dague;141;01;19;2021;11;46;24;;100017 kamas/u.;100 017;;;;;
Dague de Ifudi;Dague;143;01;19;2021;11;46;29;;0 kamas/u.;400 000;;;;;
Dagues Réceuses;Dague;143;01;19;2021;11;46;34;;1457069 kamas/u.;3 333 333;3 500 000;3 600 000;3 900 000;3 999 999;3 900 000;3 999 999;4 550 000;
Dague de Aquauli;Dague;145;01;19;2021;11;46;40;;0 kamas/u.;199 999;;;;;
Dague de Meloro;Dague;147;01;19;2021;11;46;46;;2392341 kamas/u.;12 999 999;13 599 999;16 000 000;;;
Dague de Mocohi;Dague;149;01;19;2021;11;46;51;;69999 kamas/u.;200 000;;;;;
Dague du Odomata;Dague;149;01;19;2021;11;46;56;;80000 kamas/u.;1 250 000;;;;;
Dagues Ruik;Dague;158;01;19;2021;11;47;01;;2712192 kamas/u.;1 500 000;2 700 000;2 800 000;2 800 000;;
Dagues Eudin;Dague;171;01;19;2021;11;47;06;;2099284 kamas/u.;yyy ay 77);3 666 666;3 999 999;4 000 000;4 000 000;4 000 000;4 500 000;7 750 000;
Dagues Eudin;Dague;171;01;19;2021;11;47;11;;2099284 kamas/u.;yyy ay 77);3 666 666;3 999 999;4 000 000;4 000 000;4 000 000;4 500 000;7 750 000;
Dague Adou;Dague;175;01;19;2021;11;47;17;;854584 kamas/u.;3 000 000;;;;;
Lame Assacre;Dague;182;01;19;2021;11;47;22;;976745 kamas/u.;4 750 000;4999 999;7 600 000;7 650 000;;
Couteaux a Champignons;Dague;187;01;19;2021;11;47;27;;2850985 kamas/u.;1977 845;1977 845;1999 999;2 699 555;2 699 999;2 998 999;3 500 000;3 600 000;4 000 000;4 500 000;4 500 000;4 566 666;4 750 000;4 890 000;4 900 000;5 000 000;5 050 000;5 150 000;5 185 000;5 420 000;
Epée de Yanguru;;1;01;19;2021;11;47;42;;250 kamas/u.;499;;;;;
Petite Epée de Boisaille;;2;01;19;2021;11;47;47;;248 kamas/u.;300;;;;;
Epée de Boisaille;;3;01;19;2021;11;47;52;;243 kamas/u.;350;;;;;
Epée d'Agaceto;;15;01;19;2021;11;47;58;;21991 kamas/u.;15 000;;;;;
Epée d'Alle;;22;01;19;2021;11;48;03;;10277 kamas/u.;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;
Epée de Ricoche;;29;01;19;2021;11;48;11;;4995 kamas/u.;3 333;;;;;
Epée de Rosoh;;31;01;19;2021;11;48;16;;4004 kamas/u.;5 000;;;;;
Epée de I'Opela;;37;01;19;2021;11;48;21;;25000 kamas/u.;5 000;;;;;
Lame du Craqueleur;;37;01;19;2021;11;48;27;;4411 kamas/u.;2 500;2 500;3 000;3 000;;
Kwaklame de Flammes;;41;01;19;2021;11;48;32;;33089 kamas/u.;30 000;30 000;33 333;35 555;;
Kwaklame de Terre;;41;01;19;2021;11;48;37;;24135 kamas/u.;20 000;27 000;28 000;28 000;28 000;28 000;28 000;28 000;28 000;28 000;29 000;
Kwaklame du Vent;;41;01;19;2021;11;48;44;;44492 kamas/u.;20 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;
Corbalame;;45;01;19;2021;11;48;55;;930 kamas/u.;299;299;450;1 000;;
Razielle;;52;01;19;2021;11;49;00;;182582 kamas/u.;19 999 012;;;;;
