;;;01;19;2021;15;13;05;;;;;;;;
;;;01;19;2021;15;13;11;;;;;;;;
;;;01;19;2021;15;13;16;;;;;;;;
wa kou;;;01;19;2021;15;13;23;;;;;;;;
;;;01;19;2021;15;13;29;;;;;;;;
PIVl UC Vasot;;;01;19;2021;15;13;34;;;;;;;;
;;;01;19;2021;15;13;40;;;;;;;;
nT eerie lamellae;;;01;19;2021;15;13;45;;;;;;;;
;;;01;19;2021;15;13;51;;;;;;;;
fli Yi;;;01;19;2021;15;13;56;;;;;;;;
;;;01;19;2021;15;14;02;;;;;;;;
Options avancées >;;;01;19;2021;15;14;07;;;;;;;;
;;;01;19;2021;15;14;17;;;;;;;;
;;;01;19;2021;15;14;23;;;;;;;;
;;;01;19;2021;15;14;29;;;;;;;;
wa kou;;;01;19;2021;15;14;36;;;;;;;;
;;;01;19;2021;15;14;41;;;;;;;;
PIVl UC Vasot;;;01;19;2021;15;14;47;;;;;;;;
;;;01;19;2021;15;14;52;;;;;;;;
nT eerie lamellae;;;01;19;2021;15;14;58;;;;;;;;
;;;01;19;2021;15;15;04;;;;;;;;
fli Yi;;;01;19;2021;15;15;09;;;;;;;;
;;;01;19;2021;15;15;15;;;;;;;;
Options avancées >;;;01;19;2021;15;15;20;;;;;;;;
