Petit Arc de Boisaille;| Arc;;01;11;2021;18;54;45;;511 kamas/u.;;;;;;
Arc de Netamebe;| Arc;28;01;11;2021;18;54;48;;O kamas/u.;15 000;;;;;
Arc en Racine d'Abraknyde;| Arc;;01;11;2021;18;54;52;;40962 kamas/u.;;;;;;
Arc du Xueluom;| Arc;30;01;11;2021;18;54;56;;25027 kamas/u.;21 000;21 500;22 000;22 500;23 000;23 000;24 500;25 027;
Abrarc;| Arc;39;01;11;2021;18;55;00;;O kamas/u.;16 999;;;;;
Arc Hidsad;| Arc;40;01;11;2021;18;55;04;;75206 kamas/u.;1 000;1 000;1 000;1 000;1 000;1 000;1 000;1 000;
Arc a Poulie Sciée;| Arc;41;01;11;2021;18;55;08;;55555 kamas/u.;60 000;;;;;
Arc de Itauly;| Arc;44;01;11;2021;18;55;12;;O kamas/u.;19 999;;;;;
Arc des Rivages;| Arc;46;01;11;2021;18;55;15;;9999 kamas/u.;10 000;15 000;20 500;22 000;23 500;23 500;24 750;25 000;
Arc de Amphemem;| Arc;49;01;11;2021;18;55;20;;O kamas/u.;30 000;;;;;
Arc de Boo;| Arc;50;01;11;2021;18;55;24;;1316 kamas/u.;800;1 299;;;;
Arc de Elelo;| Arc;55;01;11;2021;18;55;27;;O kamas/u.;10 000;;;;;
Arc de Genolaze;| Arc;57;01;11;2021;18;55;32;;O kamas/u.;19 999;;;;;
Arc de Thelule;| Arc;59;01;11;2021;18;55;35;;O kamas/u.;30 000;;;;;
Arc du Koalak;| Arc;61;01;11;2021;18;55;39;;6703 kamas/u.;4 000;4 500;4 999;5 000;5 000;
Arc du Icumaba;| Arc;69;01;11;2021;18;55;43;;50000 kamas/u.;50 000;;;;;
Arc Ko'Neun';| Arc;70;01;11;2021;18;55;46;;70000 kamas/u.;55 000;;;;;
Arc de Ekejuneh;| Arc;84;01;11;2021;18;55;50;;O kamas/u.;39 999;;;;;
Arc de Ufloruxe;| Arc;90;01;11;2021;18;55;54;;O kamas/u.;150 000;;;;;
Arc Anum;| Arc;96;01;11;2021;18;55;58;;199260 kamas/u.;200 000;;;;;
Arc Assin;| Arc;107;01;11;2021;18;56;01;;406175 kamas/u.;200 000;349 999;;;;
