;;;01;19;2021;15;57;52;;;;;;;;
;;;01;19;2021;15;57;57;;;;;;;;
;;;01;19;2021;15;58;02;;;;;;;;
wa kou;;;01;19;2021;15;58;09;;;;;;;;
;;;01;19;2021;15;58;14;;;;;;;;
PIVl UC Vasot;;;01;19;2021;15;58;19;;;;;;;;
;;;01;19;2021;15;58;24;;;;;;;;
nT eerie lamellae;;;01;19;2021;15;58;29;;;;;;;;
;;;01;19;2021;15;58;34;;;;;;;;
fli Yi;;;01;19;2021;15;58;39;;;;;;;;
;;;01;19;2021;15;58;44;;;;;;;;
Options avancées >;;;01;19;2021;15;58;49;;;;;;;;
;;;01;19;2021;15;58;59;;;;;;;;
;;;01;19;2021;15;59;04;;;;;;;;
;;;01;19;2021;15;59;09;;;;;;;;
wa kou;;;01;19;2021;15;59;15;;;;;;;;
;;;01;19;2021;15;59;20;;;;;;;;
PIVl UC Vasot;;;01;19;2021;15;59;25;;;;;;;;
;;;01;19;2021;15;59;30;;;;;;;;
nT eerie lamellae;;;01;19;2021;15;59;36;;;;;;;;
;;;01;19;2021;15;59;41;;;;;;;;
fli Yi;;;01;19;2021;15;59;46;;;;;;;;
;;;01;19;2021;15;59;51;;;;;;;;
Options avancées >;;;01;19;2021;15;59;56;;;;;;;;
;;;01;19;2021;16;00;05;;;;;;;;
;;;01;19;2021;16;00;10;;;;;;;;
;;;01;19;2021;16;00;16;;;;;;;;
wa kou;;;01;19;2021;16;00;22;;;;;;;;
;;;01;19;2021;16;00;27;;;;;;;;
PIVl UC Vasot;;;01;19;2021;16;00;32;;;;;;;;
;;;01;19;2021;16;00;37;;;;;;;;
nT eerie lamellae;;;01;19;2021;16;00;42;;;;;;;;
;;;01;19;2021;16;00;47;;;;;;;;
fli Yi;;;01;19;2021;16;00;52;;;;;;;;
;;;01;19;2021;16;00;57;;;;;;;;
Options avancées >;;;01;19;2021;16;01;02;;;;;;;;
