Manuel du Tailleur;Document;1;01;18;2021;19;35;47;;434 kamas/u.;400;4999;50 000
La forét des Abraknydes;Document;1;01;18;2021;19;35;51;;0 kamas/u.;20;;
Se faire des Amis et les garder;Document;1;01;18;2021;19;35;55;;889 kamas/u.;100;;
Le manuel de la parfaite recrue brakmarienn;Document;1;01;18;2021;19;35;59;;1 kamas/u.;25;;
Parchemin "Pointer du doigt";Document;1;01;18;2021;19;36;03;;8182 kamas/u.;6 598;60 000;
Encyclopédie d'Alchimie Annexe A : Métiers;Document;1;01;18;2021;19;36;06;;43 kamas/u.;20;;
Parchemin Vent de panique;Document;1;01;18;2021;19;36;09;;3038 kamas/u.;5 000;25 000;
La Dragoune Rose : Bien I'élever;Document;1;01;18;2021;19;36;13;;2000 kamas/u.;299;;
La Dragoune Rose : Bien I'élever;Document;1;01;18;2021;19;36;17;;2000 kamas/u.;299;;
Les secrets du langage écureuil;Document;1;01;18;2021;19;36;20;;36948 kamas/u.;9 999;;
;Document;1;01;18;2021;19;36;23;;36948 kamas/u.;9 999;;
;Document;1;01;18;2021;19;36;27;;36948 kamas/u.;9 999;;
Sort Maitrise de l'Epée;Maitrise;20;01;18;2021;19;36;35;;12644 kamas/u.;eh);;
Sort Maitrise de la Baguette;Maitrise;20;01;18;2021;19;36;38;;1271 kamas/u.;1 000;;
Sort Maitrise de |'Arc;Maitrise;20;01;18;2021;19;36;42;;1549 kamas/u.;1190;;
Sort Maitrise des Dagues;Maitrise;20;01;18;2021;19;36;46;;949 kamas/u.;899;9999;
Sort Maitrise du Marteau;Maitrise;20;01;18;2021;19;36;50;;4200 kamas/u.;2 997;;
Sort Maitrise du Baton;Maitrise;20;01;18;2021;19;36;53;;2350 kamas/u.;2 298;;
Sort Maitrise de la Pelle;Maitrise;20;01;18;2021;19;36;56;;1104 kamas/u.;998;;
;Maitrise;20;01;18;2021;19;37;00;;1104 kamas/u.;998;;
;Maitrise;20;01;18;2021;19;37;03;;1104 kamas/u.;998;;
;Maitrise;20;01;18;2021;19;37;06;;1104 kamas/u.;998;;
;Maitrise;20;01;18;2021;19;37;09;;1104 kamas/u.;998;;
;Maitrise;20;01;18;2021;19;37;13;;1104 kamas/u.;998;;
Parchemin de Sculpteur de batons;Parchemin d'expérience;1;01;18;2021;19;37;21;;5876 kamas/u.;15 000;59 999;1 499 996
Parchemin de Forgemage de Pelles;Parchemin d'expérience;1;01;18;2021;19;37;25;;576 kamas/u.;150;3 500;29 885
Parchemin de Poissonnier;Parchemin d'expérience;1;01;18;2021;19;37;29;;3428 kamas/u.;2 500;59 888;750 000
Parchemin de Forgemage d'Epées;Parchemin d'expérience;1;01;18;2021;19;37;33;;6607 kamas/u.;7 000;;
Parchemin de Forgeur de Haches;Parchemin d'expérience;1;01;18;2021;19;37;37;;1765 kamas/u.;940;15 499;199 966
Parchemin de Chasseur;Parchemin d'expérience;1;01;18;2021;19;37;40;;10969 kamas/u.;ne eh} };139 999;
Parchemin de Bijoutier;Parchemin d'expérience;1;01;18;2021;19;37;44;;4428 kamas/u.;3 999;41 900;449 994
