;;;01;19;2021;14;57;59;;;;;
;;;01;19;2021;14;58;03;;;;;
;;;01;19;2021;14;58;08;;;;;
wa kou;;;01;19;2021;14;58;13;;;;;
;;;01;19;2021;14;58;17;;;;;
PIVl UC Vasot;;;01;19;2021;14;58;22;;;;;
;;;01;19;2021;14;58;26;;;;;
nT eerie lamellae;;;01;19;2021;14;58;30;;;;;
;;;01;19;2021;14;58;35;;;;;
fli Yi;;;01;19;2021;14;58;39;;;;;
;;;01;19;2021;14;58;43;;;;;
Options avancées >;;;01;19;2021;14;58;47;;;;;
;;;01;19;2021;14;58;55;;;;;
;;;01;19;2021;14;59;00;;;;;
;;;01;19;2021;14;59;04;;;;;
wa kou;;;01;19;2021;14;59;09;;;;;
;;;01;19;2021;14;59;13;;;;;
PIVl UC Vasot;;;01;19;2021;14;59;18;;;;;
;;;01;19;2021;14;59;22;;;;;
nT eerie lamellae;;;01;19;2021;14;59;26;;;;;
;;;01;19;2021;14;59;30;;;;;
fli Yi;;;01;19;2021;14;59;34;;;;;
;;;01;19;2021;14;59;38;;;;;
Options avancées >;;;01;19;2021;14;59;43;;;;;
;;;01;19;2021;14;59;51;;;;;
;;;01;19;2021;14;59;56;;;;;
;;;01;19;2021;15;00;00;;;;;
wa kou;;;01;19;2021;15;00;05;;;;;
;;;01;19;2021;15;00;09;;;;;
PIVl UC Vasot;;;01;19;2021;15;00;13;;;;;
;;;01;19;2021;15;00;17;;;;;
nT eerie lamellae;;;01;19;2021;15;00;21;;;;;
;;;01;19;2021;15;00;25;;;;;
fli Yi;;;01;19;2021;15;00;29;;;;;
;;;01;19;2021;15;00;33;;;;;
Options avancées >;;;01;19;2021;15;00;38;;;;;
;;;01;19;2021;15;00;46;;;;;
;;;01;19;2021;15;00;50;;;;;
;;;01;19;2021;15;00;54;;;;;
wa kou;;;01;19;2021;15;00;59;;;;;
;;;01;19;2021;15;01;03;;;;;
PIVl UC Vasot;;;01;19;2021;15;01;07;;;;;
;;;01;19;2021;15;01;11;;;;;
nT eerie lamellae;;;01;19;2021;15;01;16;;;;;
;;;01;19;2021;15;01;20;;;;;
fli Yi;;;01;19;2021;15;01;24;;;;;
;;;01;19;2021;15;01;28;;;;;
Options avancées >;;;01;19;2021;15;01;32;;;;;
;;;01;19;2021;15;01;40;;;;;
;;;01;19;2021;15;01;44;;;;;
;;;01;19;2021;15;01;48;;;;;
wa kou;;;01;19;2021;15;01;53;;;;;
;;;01;19;2021;15;01;57;;;;;
PIVl UC Vasot;;;01;19;2021;15;02;01;;;;;
;;;01;19;2021;15;02;05;;;;;
nT eerie lamellae;;;01;19;2021;15;02;10;;;;;
;;;01;19;2021;15;02;14;;;;;
fli Yi;;;01;19;2021;15;02;18;;;;;
;;;01;19;2021;15;02;22;;;;;
Options avancées >;;;01;19;2021;15;02;26;;;;;
