Manuel du Tailleur;Document;1;01;14;2021;12;30;50;;465 kamas/u.;100;5 000;799 999
Se faire des Amis et les garder;Document;1;01;14;2021;12;30;53;;889 kamas/u.;100;;
Le Temps des Dragons - Fragments Retrouv;Document;1;01;14;2021;12;30;57;;983 kamas/u.;983;;
Le manuel de la parfaite recrue brakmarienn;Document;1;01;14;2021;12;31;01;;1 kamas/u.;25;;
Parchemin "Pointer du doigt";Document;1;01;14;2021;12;31;04;;8355 kamas/u.;6 998;;
Livre du Bwork Mage;Document;1;01;14;2021;12;31;07;;307 kamas/u.;17;;5 000
Parchemin Vent de panique;Document;1;01;14;2021;12;31;10;;3012 kamas/u.;4 000;19 000;
La Dragoune Rose : Bien I'élever;Document;1;01;14;2021;12;31;13;;2000 kamas/u.;299;;
La Dragoune Rose : Bien I'élever;Document;1;01;14;2021;12;31;17;;2000 kamas/u.;299;;
Les secrets du langage écureuil;Document;1;01;14;2021;12;31;20;;36948 kamas/u.;9 999;;
;Document;1;01;14;2021;12;31;23;;36948 kamas/u.;9 999;;
;Document;1;01;14;2021;12;31;26;;36948 kamas/u.;9 999;;
Sort Maitrise de l'Epée;Maitrise;20;01;14;2021;12;31;32;;12317 kamas/u.;18 999;;
Sort Maitrise de la Baguette;Maitrise;20;01;14;2021;12;31;35;;1290 kamas/u.;sey:;;
Sort Maitrise de |'Arc;Maitrise;20;01;14;2021;12;31;38;;1557 kamas/u.;sey:;;
Sort Maitrise des Dagues;Maitrise;20;01;14;2021;12;31;42;;961 kamas/u.;1 000;10 293;
Sort Maitrise du Marteau;Maitrise;20;01;14;2021;12;31;45;;4355 kamas/u.;2 990;;
Sort Maitrise de la Hache;Maitrise;20;01;14;2021;12;31;48;;2456 kamas/u.;1 700;;
Sort Maitrise de la Pelle;Maitrise;20;01;14;2021;12;31;52;;1105 kamas/u.;1199;;
;Maitrise;20;01;14;2021;12;31;55;;1105 kamas/u.;1199;;
;Maitrise;20;01;14;2021;12;31;58;;1105 kamas/u.;1199;;
;Maitrise;20;01;14;2021;12;32;01;;1105 kamas/u.;1199;;
;Maitrise;20;01;14;2021;12;32;04;;1105 kamas/u.;1199;;
;Maitrise;20;01;14;2021;12;32;08;;1105 kamas/u.;1199;;
Parchemin de Bricoleur;Parchemin d'expérience;1;01;14;2021;12;32;13;;4971 kamas/u.;4 500;45 997;399 998
Parchemin de Forgeur de Haches;Parchemin d'expérience;1;01;14;2021;12;32;16;;4145 kamas/u.;900;37 999;359 999
Parchemin de Forgemage de Dagues;Parchemin d'expérience;1;01;14;2021;12;32;20;;7412 kamas/u.;lope ={e le);85 000;
Parchemin de Joaillomage;Parchemin d'expérience;1;01;14;2021;12;32;24;;12751 kamas/u.;17 000;;
Parchemin de Forgemage de Haches;Parchemin d'expérience;1;01;14;2021;12;32;27;;3738 kamas/u.;9 999;;
Parchemin de Sculptemage d'Arcs;Parchemin d'expérience;1;01;14;2021;12;32;30;;1053 kamas/u.;555;9 984;114 000
Parchemin de Cordomage;Parchemin d'expérience;1;01;14;2021;12;32;34;;7184 kamas/u.;3 500;112 000;
Parchemin de Boulanger;Parchemin d'expérience;1;01;14;2021;12;32;38;;2296 kamas/u.;999;8 000;
Parchemin de Pécheur;Parchemin d'expérience;1;01;14;2021;12;32;41;;70322 kamas/u.;78 000;896 996;7 499 999
Parchemin de Sculpteur de batons;Parchemin d'expérience;1;01;14;2021;12;32;45;;5484 kamas/u.;3 000;39 994;558 989
Parchemin de Forgemage de Pelles;Parchemin d'expérience;1;01;14;2021;12;32;48;;488 kamas/u.;189;4991;48 995
Parchemin de Forgeur de dagues;Parchemin d'expérience;1;01;14;2021;12;32;51;;8825 kamas/u.;4 400;74 997;1699 999
Parchemin de Costumage;Parchemin d'expérience;1;01;14;2021;12;32;55;;9997 kamas/u.;6 200;;
Parchemin de Poissonnier;Parchemin d'expérience;1;01;14;2021;12;32;59;;3436 kamas/u.;3 199;59 999;999 999
Parchemin Blanc;Parchemin d'expérience;1;01;14;2021;12;33;02;;116 kamas/u.;115;1 192;12 495
Parchemin de Boucher;Parchemin d'expérience;1;01;14;2021;12;33;06;;4690 kamas/u.;5 988;;469 999
Parchemin de Forgeur de Boucliers;Parchemin d'expérience;1;01;14;2021;12;33;09;;7518 kamas/u.;6 500;89 999;
Parchemin de Bicheron;Parchemin d'expérience;1;01;14;2021;12;33;13;;4662 kamas/u.;Cette);45 990;429 999
Parchemin de Bijoutier;Parchemin d'expérience;1;01;14;2021;12;33;17;;4071 kamas/u.;3 949;39 995;399 999
Parchemin de Cordonnier;Parchemin d'expérience;1;01;14;2021;12;33;20;;25814 kamas/u.;16 990;179 898;1999 999
Parchemin de Sculpteur de baguettes;Parchemin d'expérience;1;01;14;2021;12;33;23;;2354 kamas/u.;695;18 998;199 998
Parchemin de Sculptemage de Batons;Parchemin d'expérience;1;01;14;2021;12;33;27;;7390 kamas/u.;2 800;;
Parchemin de Sculpteur d'arcs;Parchemin d'expérience;1;01;14;2021;12;33;31;;26769 kamas/Uu.;19 990;199 999;2 999 999
Parchemin d'Alchimiste;Parchemin d'expérience;1;01;14;2021;12;33;34;;1985 kamas/u.;999;10 000;
Parchemin de Forgeur d'épée;Parchemin d'expérience;1;01;14;2021;12;33;38;;3002 kamas/u.;2 990;32 940;199 999
Parchemin de Tailleur;Parchemin d'expérience;1;01;14;2021;12;33;41;;17515 kamas/u.;16 995;148 994;1 849 959
Parchemin de Tailleur;Parchemin d'expérience;1;01;14;2021;12;33;45;;17515 kamas/u.;16 995;148 994;1 849 959
Parchemin de Mineur;Parchemin d'expérience;1;01;14;2021;12;33;48;;5480 kamas/u.;5 997;59 900;499 999
Parchemin d'Ivoire;Parchemin d'expérience;25;01;14;2021;12;33;52;;1480 kamas/u.;996;14 998;179 999
Parchemin Doré;Parchemin d'expérience;50;01;14;2021;12;33;55;;12863 kamas/u.;10 390;110 000;1555 554
Petit Parchemin d'Agilité;Parchemin de caractéristique;1;01;14;2021;12;34;02;;14494 kamas/u.;17 499;999 998;
Parchemin de Force;Parchemin de caractéristique;1;01;14;2021;12;34;06;;183035 kamas/u.;179 998;2 318 897;
Puissant Parchemin d'Intelligence;Parchemin de caractéristique;1;01;14;2021;12;34;09;;447402 kamas/u.;494 998;4 398 878;
Puissant Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;34;13;;378878 kamas/u.;359 997;3 599 996;
Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;34;17;;89212 kamas/u.;68 000;859 999;
Grand Parchemin de Vitalite;Parchemin de caractéristique;1;01;14;2021;12;34;20;;38129 kamas/u.;39 949;440 000;4 500 000
Petit Parchemin d'Intelligence;Parchemin de caractéristique;1;01;14;2021;12;34;25;;3160 kamas/u.;3 599;31 900;
Puissant Parchemin de Sagesse;Parchemin de caractéristique;1;01;14;2021;12;34;28;;820056 kamas/u.;849 898;8 122 219;
Petit Parchemin de Force;Parchemin de caractéristique;1;01;14;2021;12;34;31;;8894 kamas/u.;7776;91 997;722 222
Petit Parchemin de Sagesse;Parchemin de caractéristique;1;01;14;2021;12;34;35;;29048 kamas/u.;22 899;228 994;
Parchemin d'Agilité;Parchemin de caractéristique;1;01;14;2021;12;34;38;;171717 kamas/u.;189 997;1 690 000;
Grand Parchemin de Force;Parchemin de caractéristique;1;01;14;2021;12;34;42;;211533 kamas/u.;122 000;2 222 222;
Parchemin d'Intelligence;Parchemin de caractéristique;1;01;14;2021;12;34;46;;244548 kamas/u.;246 999;2 679 999;
Grand Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;34;49;;66548 kamas/u.;69 950;629 999;
Petit Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;34;52;;10161 kamas/u.;10 950;99 995;
Grand Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;34;56;;66548 kamas/u.;69 950;629 999;
Petit Parchemin de Chance;Parchemin de caractéristique;1;01;14;2021;12;35;00;;10161 kamas/u.;10 950;99 995;
Petit Parchemin de Vitalité;Parchemin de caractéristique;1;01;14;2021;12;35;03;;34185 kamas/u.;39 500;367 777;
Parchemin de Sorts;Parchemin de caractéristique;1;01;14;2021;12;35;07;;646486 kamas/u.;648 999;6 558 453;
Parchemin de Sagesse;Parchemin de caractéristique;1;01;14;2021;12;35;10;;242037 kamas/u.;219 898;2 499 998;
Puissant Parchemin de Force;Parchemin de caractéristique;1;01;14;2021;12;35;13;;147141 kamas/u.;164 899;1585 995;
Grand Parchemin d'Intelligence;Parchemin de caractéristique;1;01;14;2021;12;35;17;;241935 kamas/u.;208 888;2 700 995;
Puissant Parchemin de Vitalité;Parchemin de caractéristique;1;01;14;2021;12;35;20;;250686 kamas/u.;239 997;2 499 997;
Puissant Parchemin de Vitalité;Parchemin de caractéristique;1;01;14;2021;12;35;24;;250638 kamas/u.;239 997;2 499 997;
Parchemin de Vitalite;Parchemin de caractéristique;1;01;14;2021;12;35;27;;151999 kamas/u.;199 999;2 399 998;
Grand Parchemin de Sagesse;Parchemin de caractéristique;1;01;14;2021;12;35;30;;245456 kamas/u.;249 999;2 349 999;
Puissant Parchemin d'Agilité;Parchemin de caractéristique;1;01;14;2021;12;35;33;;728910 kamas/u.;640 000;7 498 497;
Parchemin de Sort Invocation de Chaferfu;Parchemin de sort;1;01;14;2021;12;35;39;;217242 kamas/u.;142 000;;
Parchemin de Sort Libération;Parchemin de sort;1;01;14;2021;12;35;42;;15701 kamas/u.;23 990;180 000;
Pawchemin de la Cawotte;Parchemin de sort;1;01;14;2021;12;35;45;;851091 kamas/u.;970 000;;
Parchemin de Sort Foudroiement;Parchemin de sort;1;01;14;2021;12;35;50;;931 kamas/u.;650;9999;
Parchemin de Sort Flamiche;Parchemin de sort;1;01;14;2021;12;35;53;;11243 kamas/u.;sate} a};110 000;
;Parchemin de sort;1;01;14;2021;12;35;56;;11243 kamas/u.;12 990;110 000;
;Parchemin de sort;1;01;14;2021;12;35;59;;11243 kamas/u.;sate} a};110 000;
;Parchemin de sort;1;01;14;2021;12;36;02;;11243 kamas/u.;12 990;110 000;
;Parchemin de sort;1;01;14;2021;12;36;06;;11243 kamas/u.;sate} a};110 000;
;Parchemin de sort;1;01;14;2021;12;36;09;;11243 kamas/u.;12 990;110 000;
;Parchemin de sort;1;01;14;2021;12;36;12;;11243 kamas/u.;sate} a};110 000;
;Parchemin de sort;1;01;14;2021;12;36;15;;11243 kamas/u.;12 990;110 000;
