Ailes cassées;Aile;;01;13;2021;11;55;46;;11 kamas/u.;;;
Ailes de Moskito;Aile;2;01;13;2021;11;55;50;;2925 kamas/u.;2 969;24 499;243 000
Aile du Tofu Maléfique;Aile;3;01;13;2021;11;55;54;;2484 kamas/u.;3 098;26 999;248 500
Ailes de Moskito;Aile;2;01;13;2021;11;55;59;;2925 kamas/u.;2 969;24 499;243 000
Aile du Tofu Maléfique;Aile;3;01;13;2021;11;56;03;;2484 kamas/u.;3 098;26 999;248 500
Aile de Dragodinde Rousse Sauvage;Aile;29;01;13;2021;11;56;08;;363 kamas/u.;800;6 860;33 999
Aile de Dragodinde;Aile;29;01;13;2021;11;56;12;;404 kamas/u.;399;3 999;29 498
Ailes de Scarafeuille rouge;Aile;32;01;13;2021;11;56;16;;1223 kamas/u.;795;19 998;99 200
Ailes de Scarafeuille vert;Aile;32;01;13;2021;11;56;19;;455 kamas/u.;450;;49 998
Ailes de Scarafeuille bleu;Aile;32;01;13;2021;11;56;22;;1380 kamas/u.;495;13 800;
Ailes du Scarafeuille Noir;Aile;40;01;13;2021;11;56;26;;461 kamas/u.;;4998;56 993
Ailes du Scarafeuille Noir;Aile;40;01;13;2021;11;56;30;;461 kamas/u.;;4998;56 993
Ailes du Scarabosse Dore;Aile;70;01;13;2021;11;56;34;;43679 kamas/u.;47 000;510 000;
_Aile de Dragoeuf Volant;Aile;80;01;13;2021;11;56;37;;1401 kamas/u.;yAs}°}°};11 499;400 000
Aile du Bitouf des plaines;Aile;80;01;13;2021;11;56;41;;92 kamas/u.;49;1 100;8 300
Carapace de Scaratos;Carapace;1;01;13;2021;11;56;47;;833 kamas/u.;690;8 000;79 998
Carapace vide de Crabe;Carapace;4;01;13;2021;11;56;50;;953 kamas/u.;900;12 000;
Carapace Jaune Vide;Carapace;24;01;13;2021;11;56;54;;1286 kamas/u.;599;7998;129 997
Carapace vide de Crabe;Carapace;4;01;13;2021;11;56;58;;953 kamas/u.;900;12 000;
Carapace Jaune Vide;Carapace;24;01;13;2021;11;57;02;;1286 kamas/u.;599;7998;129 997
Carapace Bleue Vide;Carapace;24;01;13;2021;11;57;05;;985 kamas/u.;498;7 899;149 997
Carapace Rouge Vide;Carapace;24;01;13;2021;11;57;09;;1230 kamas/u.;599;6 979;108 999
Carapace Verte Vide;Carapace;24;01;13;2021;11;57;13;;1073 kamas/u.;599;7 399;129 949
Carapace de Scarafeuille Vert;Carapace;32;01;13;2021;11;57;16;;33 kamas/u.;35;298;6 000
Carapace de Scarafeuille Blanc;Carapace;;01;13;2021;11;57;20;;179 kamas/u.;;12 000;121999
Carapace de Scarafeuille Rouge;Carapace;32;01;13;2021;11;57;24;;1711 kamas/u.;3 000;19 000;177 400
Carapace de Scarafeuille Rouge;Carapace;32;01;13;2021;11;57;27;;1711 kamas/u.;3 000;19 000;177 400
