;;;01;19;2021;15;30;50;;;;;
;;;01;19;2021;15;30;54;;;;;
;;;01;19;2021;15;30;58;;;;;
wa kou;;;01;19;2021;15;31;04;;;;;
;;;01;19;2021;15;31;08;;;;;
PIVl UC Vasot;;;01;19;2021;15;31;12;;;;;
;;;01;19;2021;15;31;17;;;;;
nT eerie lamellae;;;01;19;2021;15;31;22;;;;;
;;;01;19;2021;15;31;27;;;;;
fli Yi;;;01;19;2021;15;31;32;;;;;
;;;01;19;2021;15;31;36;;;;;
Options avancées >;;;01;19;2021;15;31;41;;;;;
;;;01;19;2021;15;31;50;;;;;
;;;01;19;2021;15;31;55;;;;;
;;;01;19;2021;15;32;00;;;;;
wa kou;;;01;19;2021;15;32;05;;;;;
;;;01;19;2021;15;32;10;;;;;
PIVl UC Vasot;;;01;19;2021;15;32;15;;;;;
;;;01;19;2021;15;32;20;;;;;
nT eerie lamellae;;;01;19;2021;15;32;25;;;;;
;;;01;19;2021;15;32;29;;;;;
fli Yi;;;01;19;2021;15;32;35;;;;;
;;;01;19;2021;15;32;39;;;;;
Options avancées >;;;01;19;2021;15;32;44;;;;;
;;;01;19;2021;15;32;52;;;;;
;;;01;19;2021;15;32;57;;;;;
;;;01;19;2021;15;33;01;;;;;
wa kou;;;01;19;2021;15;33;07;;;;;
;;;01;19;2021;15;33;11;;;;;
PIVl UC Vasot;;;01;19;2021;15;33;16;;;;;
;;;01;19;2021;15;33;20;;;;;
nT eerie lamellae;;;01;19;2021;15;33;25;;;;;
;;;01;19;2021;15;33;29;;;;;
fli Yi;;;01;19;2021;15;33;33;;;;;
;;;01;19;2021;15;33;38;;;;;
Options avancées >;;;01;19;2021;15;33;42;;;;;
;;;01;19;2021;15;33;50;;;;;
;;;01;19;2021;15;33;55;;;;;
;;;01;19;2021;15;33;59;;;;;
wa kou;;;01;19;2021;15;34;04;;;;;
;;;01;19;2021;15;34;08;;;;;
PIVl UC Vasot;;;01;19;2021;15;34;13;;;;;
;;;01;19;2021;15;34;17;;;;;
nT eerie lamellae;;;01;19;2021;15;34;21;;;;;
;;;01;19;2021;15;34;25;;;;;
fli Yi;;;01;19;2021;15;34;30;;;;;
;;;01;19;2021;15;34;34;;;;;
Options avancées >;;;01;19;2021;15;34;38;;;;;
;;;01;19;2021;15;34;46;;;;;
;;;01;19;2021;15;34;51;;;;;
;;;01;19;2021;15;34;55;;;;;
wa kou;;;01;19;2021;15;35;00;;;;;
;;;01;19;2021;15;35;05;;;;;
PIVl UC Vasot;;;01;19;2021;15;35;09;;;;;
;;;01;19;2021;15;35;13;;;;;
nT eerie lamellae;;;01;19;2021;15;35;18;;;;;
;;;01;19;2021;15;35;22;;;;;
fli Yi;;;01;19;2021;15;35;26;;;;;
;;;01;19;2021;15;35;30;;;;;
Options avancées >;;;01;19;2021;15;35;34;;;;;
;;;01;19;2021;15;35;43;;;;;
;;;01;19;2021;15;35;47;;;;;
;;;01;19;2021;15;35;51;;;;;
wa kou;;;01;19;2021;15;35;56;;;;;
;;;01;19;2021;15;36;01;;;;;
PIVl UC Vasot;;;01;19;2021;15;36;05;;;;;
;;;01;19;2021;15;36;10;;;;;
nT eerie lamellae;;;01;19;2021;15;36;14;;;;;
;;;01;19;2021;15;36;18;;;;;
fli Yi;;;01;19;2021;15;36;22;;;;;
;;;01;19;2021;15;36;26;;;;;
Options avancées >;;;01;19;2021;15;36;31;;;;;
;;;01;19;2021;15;36;39;;;;;
;;;01;19;2021;15;36;43;;;;;
