;;;01;19;2021;14;16;58;;;;;
;;;01;19;2021;14;17;02;;;;;
;;;01;19;2021;14;17;06;;;;;
wa kou;;;01;19;2021;14;17;10;;;;;
;;;01;19;2021;14;17;14;;;;;
PIVl UC Vasot;;;01;19;2021;14;17;18;;;;;
;;;01;19;2021;14;17;21;;;;;
nT eerie lamellae;;;01;19;2021;14;17;25;;;;;
;;;01;19;2021;14;17;29;;;;;
fli Yi;;;01;19;2021;14;17;33;;;;;
;;;01;19;2021;14;17;36;;;;;
Options avancées >;;;01;19;2021;14;17;40;;;;;
;;;01;19;2021;14;17;48;;;;;
;;;01;19;2021;14;17;52;;;;;
;;;01;19;2021;14;17;56;;;;;
wa kou;;;01;19;2021;14;18;00;;;;;
;;;01;19;2021;14;18;04;;;;;
PIVl UC Vasot;;;01;19;2021;14;18;08;;;;;
;;;01;19;2021;14;18;12;;;;;
nT eerie lamellae;;;01;19;2021;14;18;15;;;;;
;;;01;19;2021;14;18;19;;;;;
fli Yi;;;01;19;2021;14;18;23;;;;;
;;;01;19;2021;14;18;26;;;;;
Options avancées >;;;01;19;2021;14;18;30;;;;;
;;;01;19;2021;14;18;38;;;;;
;;;01;19;2021;14;18;41;;;;;
;;;01;19;2021;14;18;45;;;;;
wa kou;;;01;19;2021;14;18;50;;;;;
;;;01;19;2021;14;18;53;;;;;
PIVl UC Vasot;;;01;19;2021;14;18;57;;;;;
;;;01;19;2021;14;19;01;;;;;
nT eerie lamellae;;;01;19;2021;14;19;05;;;;;
;;;01;19;2021;14;19;08;;;;;
fli Yi;;;01;19;2021;14;19;12;;;;;
;;;01;19;2021;14;19;15;;;;;
Options avancées >;;;01;19;2021;14;19;19;;;;;
;;;01;19;2021;14;19;27;;;;;
;;;01;19;2021;14;19;31;;;;;
;;;01;19;2021;14;19;34;;;;;
wa kou;;;01;19;2021;14;19;39;;;;;
;;;01;19;2021;14;19;43;;;;;
PIVl UC Vasot;;;01;19;2021;14;19;46;;;;;
;;;01;19;2021;14;19;50;;;;;
nT eerie lamellae;;;01;19;2021;14;19;54;;;;;
;;;01;19;2021;14;19;57;;;;;
fli Yi;;;01;19;2021;14;20;01;;;;;
;;;01;19;2021;14;20;05;;;;;
Options avancées >;;;01;19;2021;14;20;08;;;;;
;;;01;19;2021;14;20;16;;;;;
;;;01;19;2021;14;20;20;;;;;
;;;01;19;2021;14;20;24;;;;;
wa kou;;;01;19;2021;14;20;28;;;;;
;;;01;19;2021;14;20;32;;;;;
PIVl UC Vasot;;;01;19;2021;14;20;36;;;;;
;;;01;19;2021;14;20;39;;;;;
nT eerie lamellae;;;01;19;2021;14;20;43;;;;;
;;;01;19;2021;14;20;47;;;;;
fli Yi;;;01;19;2021;14;20;50;;;;;
;;;01;19;2021;14;20;54;;;;;
Options avancées >;;;01;19;2021;14;20;58;;;;;
;;;01;19;2021;14;21;05;;;;;
;;;01;19;2021;14;21;09;;;;;
;;;01;19;2021;14;21;13;;;;;
wa kou;;;01;19;2021;14;21;17;;;;;
;;;01;19;2021;14;21;21;;;;;
PIVl UC Vasot;;;01;19;2021;14;21;25;;;;;
;;;01;19;2021;14;21;28;;;;;
nT eerie lamellae;;;01;19;2021;14;21;32;;;;;
;;;01;19;2021;14;21;36;;;;;
fli Yi;;;01;19;2021;14;21;39;;;;;
;;;01;19;2021;14;21;43;;;;;
Options avancées >;;;01;19;2021;14;21;47;;;;;
;;;01;19;2021;14;21;54;;;;;
;;;01;19;2021;14;21;58;;;;;
;;;01;19;2021;14;22;02;;;;;
wa kou;;;01;19;2021;14;22;06;;;;;
;;;01;19;2021;14;22;10;;;;;
PIVl UC Vasot;;;01;19;2021;14;22;14;;;;;
;;;01;19;2021;14;22;17;;;;;
nT eerie lamellae;;;01;19;2021;14;22;21;;;;;
;;;01;19;2021;14;22;25;;;;;
fli Yi;;;01;19;2021;14;22;28;;;;;
;;;01;19;2021;14;22;32;;;;;
Options avancées >;;;01;19;2021;14;22;36;;;;;
;;;01;19;2021;14;22;43;;;;;
;;;01;19;2021;14;22;47;;;;;
;;;01;19;2021;14;22;51;;;;;
wa kou;;;01;19;2021;14;22;55;;;;;
;;;01;19;2021;14;22;59;;;;;
PIVl UC Vasot;;;01;19;2021;14;23;03;;;;;
;;;01;19;2021;14;23;06;;;;;
nT eerie lamellae;;;01;19;2021;14;23;10;;;;;
;;;01;19;2021;14;23;14;;;;;
fli Yi;;;01;19;2021;14;23;17;;;;;
;;;01;19;2021;14;23;21;;;;;
Options avancées >;;;01;19;2021;14;23;25;;;;;
;;;01;19;2021;14;23;33;;;;;
;;;01;19;2021;14;23;37;;;;;
;;;01;19;2021;14;23;41;;;;;
;;;01;19;2021;14;23;45;;;;;
;;;01;19;2021;14;23;49;;;;;
;;;01;19;2021;14;23;52;;;;;
;;;01;19;2021;14;23;57;;;;LOS >» %;.
;;;01;19;2021;14;24;00;;;;LOS >» %;.
;;;01;19;2021;14;24;04;;;;LOS >» %;.
;;;01;19;2021;14;24;09;;;;7
>. | % fv AT;
;;;01;19;2021;14;24;12;;;;7
>. | % fv AT;
