Ailes cassées;Aile;1;01;19;2021;01;50;57;;11 kamas/u.;;;
Ailes de Moskito;Aile;2;01;19;2021;01;51;02;;2818 kamas/u.;2 200;22 000;284 888
Aile du Tofu Maléfique;Aile;3;01;19;2021;01;51;06;;3460 kamas/u.;2 897;34 997;387 000
Ailes de Moskito;Aile;2;01;19;2021;01;51;11;;2818 kamas/u.;2 200;22 000;284 888
Aile du Tofu Maléfique;Aile;3;01;19;2021;01;51;15;;3460 kamas/u.;2 897;34 997;387 000
Aile de Dragodinde Rousse Sauvage;Aile;29;01;19;2021;01;51;19;;471 kamas/u.;198;6 795;47 100
Aile de Dragodinde;Aile;29;01;19;2021;01;51;24;;370 kamas/u.;399;3 695;28 000
Ailes de Scarafeuille rouge;Aile;32;01;19;2021;01;51;27;;1212 kamas/u.;500;19 500;99 197
Ailes de Scarafeuille vert;Aile;;01;19;2021;01;51;31;;457 kamas/u.;;;49 996
Ailes de Scarafeuille bleu;Aile;32;01;19;2021;01;51;36;;1356 kamas/u.;495;;135 000
Ailes du Scarafeuille Noir;Aile;;01;19;2021;01;51;40;;543 kamas/u.;;5 299;52 000
Ailes du Scarafeuille Noir;Aile;40;01;19;2021;01;51;44;;543 kamas/u.;;5 299;52 000
Ailes du Scarabosse Dore;Aile;70;01;19;2021;01;51;48;;43700 kamas/u.;42 500;Chts ee} }s};
-Aile de Dragoeuf Volant;Aile;80;01;19;2021;01;51;52;;1382 kamas/u.;800;10 000;99 999
Aile du Bitouf des plaines;Aile;80;01;19;2021;01;51;56;;79 kamas/u.;50;750;5 000
Carapace de Scaratos;Carapace;1;01;19;2021;01;52;05;;668 kamas/u.;1 200;11 999;60 000
Carapace vide de Crabe;Carapace;4;01;19;2021;01;52;10;;953 kamas/u.;900;12 000;
Carapace Jaune Vide;Carapace;24;01;19;2021;01;52;14;;1147 kamas/u.;700;6 999;99 950
Carapace vide de Crabe;Carapace;4;01;19;2021;01;52;19;;953 kamas/u.;900;12 000;
Carapace Jaune Vide;Carapace;24;01;19;2021;01;52;24;;1147 kamas/u.;700;6 999;99 950
Carapace Bleue Vide;Carapace;;01;19;2021;01;52;27;;902 kamas/u.;;;99 950
Carapace Rouge Vide;Carapace;24;01;19;2021;01;52;32;;1019 kamas/u.;;;99 950
Carapace Verte Vide;Carapace;24;01;19;2021;01;52;37;;963 kamas/u.;700;6 999;99 449
Carapace de Scarafeuille Vert;Carapace;32;01;19;2021;01;52;40;;41 kamas/u.;35;298;5 998
Carapace de Scarafeuille Blanc;Carapace;32;01;19;2021;01;52;44;;492 kamas/u.;999;9 000;119 997
Carapace de Scarafeuille Rouge;Carapace;32;01;19;2021;01;52;48;;1715 kamas/u.;1 700;19 997;175 554
Carapace de Scarafeuille Rouge;Carapace;32;01;19;2021;01;52;52;;1715 kamas/u.;1 700;19 997;175 554
Carapace de Scorbute;Carapace;36;01;19;2021;01;52;56;;2856 kamas/u.;2 999;27 999;278 999
Carapace de Scarafeuille Noir;Carapace;40;01;19;2021;01;53;00;;3865 kamas/u.;3 898;35 000;399 999
Carapace du Scarabosse Doré;Carapace;;01;19;2021;01;53;04;;19728 kamas/u.;18 599;199 998;
Coquille de Dragoss Dore;Coquille;50;01;19;2021;01;53;13;;1113 kamas/u.;690;8 498;79 999
Coquille de Dragoss Noir;Coquille;50;01;19;2021;01;53;18;;1305 kamas/u.;498;7999;
Coquille de Dragoss Blanc;Coquille;50;01;19;2021;01;53;22;;1030 kamas/u.;1 200;5 554;99 999
Coquille de Dragoss de Saphir;Coquille;50;01;19;2021;01;53;27;;1188 kamas/u.;900;9 900;40 000
Coquille de Dragoeuf Noir;Coquille;64;01;19;2021;01;53;30;;8842 kamas/u.;9 499;94 999;950 000
Coquille de Dragoeuf Blanc;Coquille;64;01;19;2021;01;53;34;;241 kamas/u.;199;1999;24 998
Coquille de Dragoeuf Blanc;Coquille;64;01;19;2021;01;53;39;;241 kamas/u.;199;1999;24 998
Coquille de Dragoeuf Doré;Coquille;64;01;19;2021;01;53;43;;1701 kamas/u.;500;14 398;190 000
Coquille de Dragoeuf Saphir;Coquille;64;01;19;2021;01;53;47;;2578 kamas/u.;2 499;25 000;270 000
Protection de la Dragueuse;Coquille;70;01;19;2021;01;53;52;;2051 kamas/u.;1 000;9 000;85 000
Fragment de Coquille d'Aerohouctor le Gue...;Coquille;80;01;19;2021;01;53;56;;23515 kamas/u.;19 999;233 999;3 999 999
Coco du Bitouf des plaines;Coquille;80;01;19;2021;01;54;00;;4343 kamas/u.;4 600;44 995;
Fragment de Coquille d'Aquabralak le Guer..;Coquille;80;01;19;2021;01;54;04;;19024 kamas/u.;10 999;193 999;
Fragment de Coquille de Terrakoubiak le G..;Coquille;80;01;19;2021;01;54;07;;24976 kamas/u.;24 989;199 998;
Fragment de Coquille de Terrakoubiak le G..;Coquille;80;01;19;2021;01;54;11;;24976 kamas/u.;24 989;199 998;
Coco du Bitouf aérien;Coquille;110;01;19;2021;01;54;15;;25981 kamas/u.;27 000;269 998;
| Coquille du Kaskargo;Coquille;110;01;19;2021;01;54;19;;10313 kamas/u.;22 499;150 000;
Coco du Bitouf sombre;Coquille;120;01;19;2021;01;54;23;;8027 kamas/u.;8 499;79 998;799 999
Cuir du Boufcoul;Cuir;;01;19;2021;01;54;32;;1011 kamas/u.;;15 000;98 995
Cuir de Boufton Blanc;Cuir;2;01;19;2021;01;54;37;;198 kamas/u.;1 190;4 449;21 898
Cuir de Boufton Noir;Cuir;2;01;19;2021;01;54;41;;192 kamas/u.;200;2 000;19 998
Cuir de Bouftou;Cuir;9;01;19;2021;01;54;46;;24 kamas/u.;669;699;2 500
Cuir de Sanglier;Cuir;14;01;19;2021;01;54;50;;694 kamas/u.;599;20 000;50 000
Slip en Cuir Moulant du Vampire;Cuir;;01;19;2021;01;54;54;;2593 kamas/u.;3 599;19 999;
Slip en cuir de Porkass;Cuir;18;01;19;2021;01;54;59;;7383 kamas/u.;4999;;
Cuir du Cochon de Lait;Cuir;18;01;19;2021;01;55;02;;701 kamas/u.;8 500;;99 999
Cuir du Chef de Guerre Bouftou;Cuir;19;01;19;2021;01;55;06;;119 kamas/u.;100;1 399;11 998
Slip en cuir de Cochon de Lait;Cuir;20;01;19;2021;01;55;11;;3081 kamas/u.;2 800;;420 000
Slip de Bwork Archer;Cuir;23;01;19;2021;01;55;15;;91 kamas/u.;;799;
Cuir Violet de Bwork;Cuir;31;01;19;2021;01;55;19;;380 kamas/u.;;;29 998
Cuir Violet de Bwork;Cuir;31;01;19;2021;01;55;23;;380 kamas/u.;;;29 998
Cuir de Bouftou Royal;Cuir;35;01;19;2021;01;55;27;;1733 kamas/u.;1 800;17 000;280 000
Cuir de Porkass;Cuir;;01;19;2021;01;55;31;;174 kamas/u.;;1 500;16 499
Selle en Cuir;Cuir;;01;19;2021;01;55;36;;12313 kamas/u.;11 000;;
Cuir de Sanglier des Plaines;Cuir;44;01;19;2021;01;55;40;;411 kamas/u.;500;4 000;43 000
Cuir du Dragon Cochon;Cuir;70;01;19;2021;01;55;44;;10614 kamas/u.;pe eh} };111 999;999 899
Cuir Noir;Cuir;74;01;19;2021;01;55;48;;23276 kamas/u.;22 799;250 000;
Cuir de Déminoboule;Cuir;100;01;19;2021;01;55;52;;63 kamas/u.;1 300;900;3 998
Cuir de Déminoboule;Cuir;100;01;19;2021;01;55;56;;63 kamas/u.;1 300;900;3 998
Cuir du Minotot;Cuir;100;01;19;2021;01;56;00;;6852 kamas/u.;3945;25 000;
Cuir de Mominotor;Cuir;100;01;19;2021;01;56;04;;749 kamas/u.;1 398;9 998;9 997
Cuir de Minotoror;Cuir;125;01;19;2021;01;56;07;;3439 kamas/u.;3 500;29 999;199 997
Etoffe de Dok Alako;Etoffe;40;01;19;2021;01;56;16;;1166 kamas/u.;1 166;9 990;114 998
Etoffe de Pandikaze;Etoffe;40;01;19;2021;01;56;20;;5708 kamas/u.;4 500;50 000;560 000
Etoffe de Sanglier des Plaines;Etoffe;44;01;19;2021;01;56;25;;428 kamas/u.;888;3 997;
Fibre de Chanvre;Etoffe;46;01;19;2021;01;56;30;;106 kamas/u.;500;999;3 400
Fibre de Lin;Etoffe;;01;19;2021;01;56;33;;31 kamas/u.;;;2 850
Tissu Sombre;Etoffe;50;01;19;2021;01;56;37;;1067 kamas/u.;;9 998;99 998
Linceul;Etoffe;65;01;19;2021;01;56;42;;3840 kamas/u.;3 498;36 000;380 000
Etoffe de Kanigrou;Etoffe;70;01;19;2021;01;56;46;;682 kamas/u.;700;7999;67 499
Etoffe du Mulou;Etoffe;70;01;19;2021;01;56;50;;31592 kamas/u.;31 999;;
Etoffe de Ouassingue;Etoffe;80;01;19;2021;01;56;55;;1323 kamas/u.;2 500;19 999;124 796
Etoffe du Rat Blanc;Etoffe;100;01;19;2021;01;56;59;;33404 kamas/u.;32 499;329 999;
Etoffe de Fant6me Pandore;Etoffe;;01;19;2021;01;57;03;;11804 kamas/u.;9 989;94 994;
Etoffe du Wa Wabbit;Etoffe;100;01;19;2021;01;57;07;;15033 kamas/u.;17 000;119 775;
Etoffe de Fant6me Léopardo;Etoffe;100;01;19;2021;01;57;11;;26722 kamas/u.;22 000;199 999;
Etoffe de Fant6me Pandikaze;Etoffe;100;01;19;2021;01;57;15;;5503 kamas/u.;3 200;34 899;399 998
Etoffe du Rat Noir;Etoffe;100;01;19;2021;01;57;20;;139 kamas/u.;2 000;1 700;13 798
Etoffe de Pandule;Etoffe;100;01;19;2021;01;57;24;;44869 kamas/u.;Come} he);499 799;
Etoffe de Fant6me Maho Firefoux;Etoffe;100;01;19;2021;01;57;28;;4841 kamas/u.;2 900;34 998;
Etoffe de Fant6me Yokai Firefoux;Etoffe;100;01;19;2021;01;57;32;;14320 kamas/u.;eh);99 999;
Etoffe de Maitre Pandore;Etoffe;100;01;19;2021;01;57;36;;519813 kamas/u.;Cheek he);;
Etoffe de Fant6me Tanukouil San;Etoffe;100;01;19;2021;01;57;40;;46493 kamas/u.;45 000;479 998;
Etoffe de Fant6me Soryo Firefoux;Etoffe;100;01;19;2021;01;57;44;;37720 kamas/u.;35 997;364 898;3 900 000
Etoffe de Fant6me Pandule;Etoffe;100;01;19;2021;01;57;49;;4016 kamas/u.;6 900;37 999;349 999
Etoffe de Meupette;Etoffe;110;01;19;2021;01;57;53;;54023 kamas/u.;52 699;500 000;4 499 999
Etoffe Zoth;Etoffe;110;01;19;2021;01;57;57;;1093 kamas/u.;1500;14 999;89 000
Etoffe de Yokai Firefoux;Etoffe;110;01;19;2021;01;58;01;;8574 kamas/u.;6 099;49 999;
Etoffe de Soryo Firefoux;Etoffe;130;01;19;2021;01;58;05;;15975 kamas/u.;17 000;144 998;
Etoffe de Maho Firefoux;Etoffe;150;01;19;2021;01;58;10;;34812 kamas/u.;37 999;;
Etoffe de Gourlo le Terrible;Etoffe;150;01;19;2021;01;58;13;;7066 kamas/u.;3 999;45 000;659 999
Etoffe du Meulou;Etoffe;198;01;19;2021;01;58;17;;208322 kamas/u.;199 998;;
Etoffe de Pandore;Etoffe;200;01;19;2021;01;58;21;;22324 kamas/u.;5 )e]el a);;
