Amulette du Piou Rose;| Amulette;1;01;13;2021;02;28;18;;36 kamas/u.;250;;;;;
Amulette du Petit Hibou;| Amulette;1;01;13;2021;02;28;22;;144 kamas/u.;100;;;;;
Amulette du Piou Vert;| Amulette;1;01;13;2021;02;28;25;;77 kamas/u.;85;;;;;
Koliet Aclou;| Amulette;1;01;13;2021;02;28;30;;264 kamas/u.;99;;;;;
Amulette du Piou Bleu;| Amulette;1;01;13;2021;02;28;33;;40 kamas/u.;10;199 999;;;;
Amulette du Petit Ours;| Amulette;1;01;13;2021;02;28;37;;4543 kamas/u.;48;;;;;
Amulette du Piou Violet;| Amulette;1;01;13;2021;02;28;41;;106 kamas/u.;499;;;;;
Amulette du Piou Rouge;| Amulette;1;01;13;2021;02;28;44;;29 kamas/u.;100;;;;;
Amulette Tude;| Amulette;1;01;13;2021;02;28;48;;488 kamas/u.;500;;;;;
Amulette de l'Aventurier;| Amulette;1;01;13;2021;02;28;52;;1415 kamas/u.;995;998;998;999;999;999;1 000;1 000;1 000;1 000;1 000;1 198;1 199;1 199;1 199;1 199;1 500;1 500;1 500;2 500;2 500;2 500;2 500;2 500;2 500;3 000;3 000;3 000;3 000;3 000;3 000;5 000;5 000;5 000;5 000;5 000;6 000;6 000;6 000;6 000;10 666;
Amulette du Bouftou;| Amulette;3;01;13;2021;02;29;05;;882 kamas/u.;200;299;299;300;399;499;500;500;900;999;1 000;1 000;1 000;1 000;1 000;1 000;1 000;1 100;1 100;1 100;1 100;1 200;1 297;1 297;1 324;1 500;1 600;1 750;1 750;1 750;1 750;2 000;2 000;2 000;2 000;2 000;2 500;2 500;4 000;4 000;4 500;4 500;5 000;5 000;5 000;5 000;5 500;6 000;8 999;9 500;9 500;9 999;12 000;
Amulette en Mousse;| Amulette;11;01;13;2021;02;29;17;;685 kamas/u.;200;300;500;;;
La Veaux Doux;| Amulette;15;01;13;2021;02;29;22;;4997 kamas/u.;5 000;;;;;
Amulette du Moskito;| Amulette;15;01;13;2021;02;29;25;;1304 kamas/u.;1 498;1 499;1 500;2 000;3 999;3 999;5 500;6 000;
Amulette du Bandit;| Amulette;16;01;13;2021;02;29;30;;2175 kamas/u.;1 999;2 000;2 000;2 000;3 000;3 000;4 000;8 500;4 000;8 500;8 500;
Omelette Amulette;| Amulette;17;01;13;2021;02;29;35;;25319 kamas/u.;15 000;;;;;
Amulette Paysanne;| Amulette;20;01;13;2021;02;29;38;;171 kamas/u.;775;775;800;800;800;800;800;800;800;800;800;800;800;800;890;890;890;890;890;900;900;1 000;1 000;
