2 000;;;;;
300;;;;;
30 000;;;;;
2 000;;;;;
35 000;35 000;60 000;60 000;;
30 000;30 000;30 000;;;
999;;;;;
;;;;;
500;;;;;
500;;;;;
1 499;1 499;1 500;1 500;2 000;
1 500;;;;;
5 000;5 000;5 000;;;
3 800;3 800;7 000;;;
4 000;4 000;4 999;4999;;
5 000;;;;;
10 000;;;;;
5 000;;;;;
17 000;18 500;19 999;19 999;20 000;19 999;20 000;21 000;
5 000;;;;;
4 500;;;;;
9 999;9 999;9 999;9 999;9 999;10 000;12 000;21 000;21 000;25 000;30 000;
10 000;;;;;
500 000;680 000;690 000;700 000;;
5 755;;;;;
119 233;;;;;
10 000;;;;;
20 000;;;;;
60 000;;;;;
40 000;;;;;
30 000;30 000;70 000;80 000;80 000;80 000;80 000;85 000;600 000;900 000;1 500 000;900 000;1 500 000;2 000 000;
25 000;;;;;
20 000;;;;;
30 000;;;;;
400 000;430 000;;;;
300 000;;;;;
200 000;250 000;785 000;;;
999 999;;;;;
120 000;150 000;;;;
200 000;;;;;
500 000;740 000;750 000;800 000;800 000;800 000;875 000;900 000;
100 000;;;;;
319 999;;;;;
200 000;;;;;
700 000;1 200 000;;;;
2 000 000;2 400 000;2 400 000;;;
40 000;;;;;
400 000;;;;;
999 080;;;;;
750 000;999 999;;;;
999 999;2 500 000;;;;
1 500 000;;;;;
499 000;;;;;
1 200 000;;;;;
430 000;450 000;600 000;600 000;649 999;600 000;649 999;1 500 000;
750 000;999 999;1 200 000;;;
200 000;;;;;
800 000;;;;;
1 200 000;1 250 000;;;;
1 050 000;;;;;
250 000;;;;;
399 999;;;;;
1 250 000;;;;;
100 017;;;;;
400 000;;;;;
299 999;;;;;
299 999;;;;;
3 333 333;3 500 000;3 600 000;3 900 000;3 999 999;3 999 999;4 500 000;4 550 000;
199 999;;;;;
12 999 999;13 599 999;16 000 000;;;
200 000;;;;;
1 250 000;;;;;
1 500 000;2 800 000;2 800 000;;;
yyy ay 77);3 666 666;3 999 999;4 000 000;4 000 000;4 000 000;4 500 000;7 750 000;
yyy ay 77);3 666 666;3 999 999;4 000 000;4 000 000;4 000 000;4 500 000;7 750 000;
3 000 000;;;;;
4 750 000;4999 999;7 600 000;7 650 000;;
1977 845;1977 845;1999 999;2 699 555;2 699 999;2 998 999;3 500 000;3 600 000;4 000 000;4 500 000;4 500 000;4 566 666;4 750 000;4 890 000;4 900 000;5 000 000;5 050 000;5 150 000;5 185 000;5 420 000;
499;;;;;
300;;;;;
350;;;;;
15 000;;;;;
10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;10 000;
3 333;;;;;
5 000;;;;;
5 000;;;;;
2 150;2 150;2 150;2 300;2 500;2 500;3 000;3 000;
30 000;30 000;33 333;35 555;;
14 000;27 000;28 000;28 000;28 000;28 000;28 000;28 000;28 000;28 000;29 000;
30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;30 000;
299;299;450;1 000;;
19 999 012;;;;;
999;1 000;1 000;1 500;2 000;2 000;2 000;2 899;2 900;3 000;3 100;3 500;3 500;4 000;3 500;4 000;5 500;
ly;;;;;
130 000;199 999;200 000;212 999;212 999;212 999;212 999;212 999;212 999;213 090;249 999;
100 000;110 000;115 000;120 000;210 000;230 000;235 000;240 000;
14 444;;;;;
2 900;2 900;2 900;2 900;2 900;2 900;2 900;2 900;2 990;2999;3 400;3 500;3 600;4 499;4 500;4999;4999;4 999;4999;5 000;5 000;6 998;7 000;7 000;7 499;7 500;8 000;8 000;8 000;9 999;9 999;9 999;9 999;45 000;70 000;
40 000;;;;;
300 000;;;;;
60 000;;;;;
200 000;;;;;
be ee!;;;;;
2 100 000;2 200 000;;;;
100 000;;;;;
50 000;111 222;;;;
459 000;520 000;630 000;630 000;633 333;650 000;675 000;799 888;799 999;799 999;2 000 000;
1 000 000;;;;;
150 000;;;;;
120 000;120 000;125 000;130 000;130 000;130 000;135 000;150 000;
355 555;;;;;
170 000;;;;;
7 000;7998;7999;7999;8 999;9 000;9 000;9 000;9 000;10 000;10 000;
500 000;520 000;550 000;550 000;570 000;600 000;730 000;730 000;799 999;800 000;800 000;900 000;980 000;1 100 000;1111111;1 129 999;1 234 567;1 249 999;1 399 999;1 399 999;1 399 999;1 399 999;1 400 000;
80 000;;;;;
599 999;750 000;1 000 000;;;
40 000;;;;;
350 000;;;;;
420 000;500 000;;;;
1 000 000;2 000 000;2 000 000;;;
200 000;;;;;
100 000;;;;;
1 200 000;;;;;
99 000;99 000;99 999;100 000;;
300 000;;;;;
650 000;;;;;
650 000;;;;;
200 000;;;;;
900 000;;;;;
nae} ol opi elele};;;;;
600 000;;;;;
250 000;;;;;
3 299 999;4 500 000;5 000 000;;;
999 999;1 099 990;1 099 990;1 099 990;1 099 990;1 100 000;1 100 000;1 400 000;1 100 000;1 400 000;1 500 000;
999 999;1 099 990;1 099 990;1 099 990;1 099 990;1 100 000;1 100 000;1 400 000;1 100 000;1 400 000;1 500 000;
3 250 000;3 499 990;3 499 990;4 200 000;5555 555;5 850 555;6 000 000;6 500 000;6 999 999;7 500 000;7 750 000;7 750 000;8 500 000;8 800 000;
6 499 990;6 499 990;;;;
VAST Y/;1 999 990;1999 990;1999 990;1 999 990;3 199 999;3 199 999;3 599 999;4 888 888;5 000 000;10 000 000;
;;;;;
