Tube longiforme;| Matériel d'alchimie;1;01;11;2021;03;44;18;;99 kamas/u.;140;1 249;7 948
Bocal;| Matériel d'alchimie;1;01;11;2021;03;44;21;;293 kamas/u.;1 000;2 900;29 994
Grande fiole;| Matériel d'alchimie;1;01;11;2021;03;44;23;;74 kamas/u.;;950;7 221
sue
Fiole a element;| Matériel d'alchimie;1;01;11;2021;03;44;27;;258 kamas/u.;;ele,;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;30;;258 kamas/u.;;2 949;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;32;;258 kamas/u.;;ele,;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;35;;258 kamas/u.;;2 949;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;38;;258 kamas/u.;;ele,;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;40;;258 kamas/u.;;2 949;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;43;;258 kamas/u.;;ele,;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;46;;258 kamas/u.;;2 949;21 988
;| Matériel d'alchimie;1;01;11;2021;03;44;49;;258 kamas/u.;;ele,;21 988
Sphere a Metarias;| Metaria;1;01;11;2021;03;44;54;;347 kamas/u.;;yeh),;30 000
Metaria bleue;| Metaria;5;01;11;2021;03;44;56;;127 kamas/u.;;ahe;7999
Metaria verte;| Metaria;5;01;11;2021;03;44;59;;34 kamas/u.;;149;8 998
Metaria bleue;| Metaria;5;01;11;2021;03;45;02;;127 kamas/u.;;ahe;7999
Metaria verte;| Metaria;5;01;11;2021;03;45;05;;34 kamas/u.;;149;8 998
Metaria rouge;| Metaria;5;01;11;2021;03;45;08;;22 kamas/u.;;199;1 998
Metaria jaune;| Metaria;5;01;11;2021;03;45;11;;1975 kamas/u.;1 785;17 500;249 999
Metaria Triame rouge;| Metaria;25;01;11;2021;03;45;14;;1901 kamas/u.;894;13 000;
Metaria Triame verte;| Metaria;25;01;11;2021;03;45;16;;350 kamas/u.;so};2 899;
Metaria Triame jaune;| Metaria;25;01;11;2021;03;45;19;;468 kamas/u.;48;3 496;73 999
Metaria Triame bleue;| Metaria;25;01;11;2021;03;45;21;;343 kamas/u.;WV);1 749;
